Company Name,Post,Job location,Company Rating,Post Date,Job location city
StatusNeo Technology Consulting,Data Analytics Engineer,"Gurgaon, Haryana",5.0 of stars rating,PostedToday,Gurgaon
Deloitte,Associate Analyst - HR Analytics,"Hyderabad, Telangana",3.9 of stars rating,Posted30+ days ago,Hyderabad
Numerator,Recruitment Data Analyst,+2 locationsRemote,3.8 of stars rating,Posted12 days ago,+2 locationsRemote
Consilio LLC,eDiscovery - Legal Data Analyst,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
IBM,Business Analyst - CIO,"Bengaluru, Karnataka",4.0 of stars rating,PostedToday,Bengaluru
McKinsey & Company,"Senior Solution Delivery Analyst - Social, Healthcare and Public Entities","Gurgaon, Haryana",3.6 of stars rating,Posted8 days ago,Gurgaon
MasterCard,Senior Network Operations Analyst,"Pune, Maharashtra",3.8 of stars rating,Posted9 days ago,Pune
Klaus IT Solutions,Data Analyst-Validation Engineer (Python or MATLAB or OOPS),"Bengaluru, Karnataka",4.1 of stars rating,Posted30+ days ago,Bengaluru
United Airlines Inc.,Senior Analyst - IT (Business Analyst),"Gurgaon, Haryana",3.7 of stars rating,Posted3 days ago,Gurgaon
Deutsche Bank,KYC Pipeline Analyst – Associate,"Bengaluru, Karnataka",3.8 of stars rating,Posted1 day ago,Bengaluru
Innovacer,Lead-Data Analyst,"Noida, Uttar Pradesh",4.3 of stars rating,Posted1 day ago,Noida
Ameriprise Financial,Data Analyst,"Gurgaon, Haryana+1 location",4.0 of stars rating,Posted30+ days ago,Gurgaon
Synamedia,Senior D365 Sales And Marketing Analyst,"Bengaluru, Karnataka",3.9 of stars rating,PostedJust posted,Bengaluru
ION,Credit Data Analyst - 6430,"Mumbai, Maharashtra",4.0 of stars rating,Posted30+ days ago,Mumbai
MetLife,Senior Business Analyst - Analytics,"Noida, Uttar Pradesh",3.9 of stars rating,Posted2 days ago,Noida
General Mills,Power BI Analyst,"Remote in Mumbai, Maharashtra",3.9 of stars rating,Posted5 days ago,Remote in Mumbai
Genpact,DG - Business Analyst - Data Visualization,"Hyderabad, Telangana+1 location",3.5 of stars rating,Posted30+ days ago,Hyderabad
AIMLEAP - Outsource Bigdata,Data Analyst – Excel Operators,"Bengaluru, Karnataka",4.7 of stars rating,Posted30+ days ago,Bengaluru
Barclays,Senior Data Analyst,"Pune, Maharashtra",3.9 of stars rating,Posted5 days ago,Pune
ioTech Designs,Business Analyst Intern,"Noida, Uttar Pradesh",3.9 of stars rating,Posted8 days ago,Noida
DBS Bank,Data Analyst - Segments & Journeys,Maharashtra,3.6 of stars rating,Posted30+ days ago,Maharashtra
EY,TTT- Consultant - Business/data analyst,"Bengaluru, Karnataka",3.6 of stars rating,Posted22 days ago,Bengaluru
Cargill,Risk & Security Analyst,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
Wells Fargo,Information Security Analyst,"Bengaluru, Karnataka",3.7 of stars rating,Posted9 days ago,Bengaluru
Ericsson,Information Manager & Data Analyst,"Bengaluru, Karnataka",3.8 of stars rating,Posted2 days ago,Bengaluru
Crypto Mize,Data Research Analyst,"Delhi, Delhi",1.0 of stars rating,Posted30+ days ago,Delhi
Genpact,Business Analyst - Data Quality,"Gurgaon, Haryana+1 location",3.9 of stars rating,Posted30+ days ago,Gurgaon
Colgate-Palmolive,Sr. Analyst - Analytics,"Mumbai, Maharashtra",4.1 of stars rating,Posted21 days ago,Mumbai
"JPMorgan Chase Bank, N.A.",Compliance Analyst - AML,"Hyderabad, Telangana",4.0 of stars rating,Posted13 days ago,Hyderabad
EY,EY-Data & Analytics - ETL Developer 1,"Bengaluru, Karnataka",3.8 of stars rating,Posted7 days ago,Bengaluru
Vodafone,Deputy Manager_Assistant Lead_Data Analyst_Pune,"Pune, Maharashtra",3.8 of stars rating,Posted14 days ago,Pune
McKinsey & Company,Knowledge Analyst - OrgSolutions,"Gurgaon, Haryana",3.5 of stars rating,Posted30+ days ago,Gurgaon
Novartis,Senior RWE Scientific Data Analyst,"Hyderabad, Telangana",3.5 of stars rating,Posted22 days ago,Hyderabad
Smith & Nephew,Business Analytics - Data Analyst,"Kharadi, Pune, Maharashtra",4.0 of stars rating,Posted7 days ago,Kharadi
Cloud Thing,Data Analyst,India,3.8 of stars rating,Posted30+ days ago,Remote Job(based in India)
Information Services Group,Data Analyst - Associate / Analyst,"Bengaluru, Karnataka",4.1 of stars rating,Posted30+ days ago,Bengaluru
Deloitte,Senior Analyst - Global Risk Sensing,"Hyderabad, Telangana",4.0 of stars rating,Posted30+ days ago,Hyderabad
Aptus Data LAbs,Business Analyst/ Data Analyst,"Bengaluru, Karnataka",4.1 of stars rating,Posted30+ days ago,Bengaluru
Exeter Premedia Services Pvt Ltd,Data Analyst,"Chennai, Tamil Nadu",3.9 of stars rating,Posted30+ days ago,Chennai
Accenture,Analyst-Data Science,"Mumbai, Maharashtra+1 location",3.5 of stars rating,Posted30+ days ago,Mumbai
Capgemini,Data Analytics | 4 to 12 years | Pune & Chennai & Hyderabad,"Chennai, Tamil Nadu",4.1 of stars rating,Posted10 days ago,Chennai
State Street,Analyst - Global Billing Data Analysis,"Bengaluru, Karnataka",4.1 of stars rating,Posted6 days ago,Bengaluru
TARGET,Data Analyst,"Bengaluru, Karnataka",3.5 of stars rating,Posted30+ days ago,Bengaluru
Ameriprise Financial,Business Analyst,"Noida, Uttar Pradesh",3.6 of stars rating,Posted6 days ago,Noida
Standard Chartered,Analyst Data Quality - Stress Testing,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
Morgan Stanley,Analyst - Wealth Management Operations - Estates,"Mumbai, Maharashtra",4.0 of stars rating,Posted1 day ago,Mumbai
Proclink,Data Analyst,"Ahmedabad, Gujarat",4.0 of stars rating,Posted30+ days ago,Ahmedabad
Invesco,Research Analyst,"Administrative Building, Andhra Pradesh",4.1 of stars rating,Posted19 days ago,Administrative Building
PipeCandy,Data Analytics & Visualization,"Remote in Chennai, Tamil Nadu",3.7 of stars rating,Posted30+ days ago,Remote in Chennai
Syngenta,Demand Planning Analyst,India,3.8 of stars rating,Posted7 days ago,Remote Job(based in India)
codemantra,Market Intelligence Analyst,"Remote in Chennai, Tamil Nadu",3.4 of stars rating,PostedToday,Remote in Chennai
Comcast,Data Visualization Engineer 2,"Chennai, Tamil Nadu",4.0 of stars rating,PostedToday,Chennai
Citi,Cash And Trade Proc Analyst 1,"Gurgaon, Haryana+5 locations",3.9 of stars rating,PostedJust posted,Gurgaon
"JPMorgan Chase Bank, N.A.",Asset Management - CRM - Data Management and Governance - Analyst / Associate,"Mumbai, Maharashtra",3.6 of stars rating,Posted1 day ago,Mumbai
Numerator,Research Analyst (Survey Programming),"Remote in Vadodara, Gujarat",3.3 of stars rating,Posted16 days ago,Remote in Vadodara
Diageo,Business Analyst,"Bengaluru, Karnataka",3.9 of stars rating,Posted2 days ago,Bengaluru
Deloitte,Analyst - Compliance Helpdesk - Risk and Brand Protection,"Hyderabad, Telangana",3.6 of stars rating,Posted16 days ago,Hyderabad
Schneider Electric,Data Analyst - Project Performance,"Bengaluru, Karnataka",3.8 of stars rating,Posted30+ days ago,Bengaluru
Barclays,IPMDM Business Analyst AVP,"Pune, Maharashtra",4.0 of stars rating,PostedToday,Pune
Galaxy Weblinks,Business Analyst,"Remote in Indore, Madhya Pradesh",4.2 of stars rating,PostedToday,Remote in Indore
PKF Group,ERP/Data Analyst (for Head Office,"Jalandhar, Punjab",4.1 of stars rating,Posted30+ days ago,Jalandhar
General Mills,Power BI Analyst,"Remote in Mumbai, Maharashtra",3.9 of stars rating,Posted5 days ago,Remote in Mumbai
Airtel India,Senior Data Analyst,"Gurgaon, Haryana",4.0 of stars rating,Posted30+ days ago,Gurgaon
Exapas,Research Analyst,"Pune, Maharashtra",3.9 of stars rating,Posted27 days ago,Pune
Sun Life Financial,Analyst Development,"Gurgaon, Haryana",3.8 of stars rating,Posted2 days ago,Gurgaon
Deloitte,Analyst - HR Analytics,"Hyderabad, Telangana",3.8 of stars rating,Posted30+ days ago,Hyderabad
Deloitte,Reporting & Analytics - Analyst,"Bengaluru, Karnataka",3.8 of stars rating,Posted30+ days ago,Bengaluru
Infosys BPM Limited,Sr. Analyst Knowledge Services,"Pune, Maharashtra",4.1 of stars rating,Posted30+ days ago,Pune
HRhelpdesk,Data Analyst,"Bengaluru, Karnataka",3.8 of stars rating,Posted30+ days ago,Bengaluru
EY,SaT_Strategy_Advanced Analyst_GIS,"Noida, Uttar Pradesh",4.0 of stars rating,Posted14 days ago,Noida
Wells Fargo,Senior information Security Analyst,"Bengaluru, Karnataka",4.0 of stars rating,PostedToday,Bengaluru
Cyient,Customer Master Data Analyst (SAP SD/MM),"Bengaluru, Karnataka",4.0 of stars rating,Posted22 days ago,Bengaluru
Accenture,Analyst-Supply Chain Analytics,"Bengaluru, Karnataka+2 locations",3.8 of stars rating,Posted6 days ago,Bengaluru
NatWest Group,Business Analyst,"Gurgaon, Haryana",4.0 of stars rating,Posted2 days ago,Gurgaon
Deloitte,Analyst - Third Party Risk Management - Risk and Brand Protection,"Hyderabad, Telangana",3.5 of stars rating,Posted30+ days ago,Hyderabad
GO-JEK,Data Analyst - Transportation,"Remote in Bengaluru, Karnataka",3.6 of stars rating,Posted30+ days ago,Remote in Bengaluru
XL Catlin,Junior Analyst - Data Governance,"Gurgaon, Haryana",3.5 of stars rating,Posted30+ days ago,Gurgaon
Oracle,Business Analyst,India,4.0 of stars rating,Posted30+ days ago,Remote Job(based in India)
Newfold Digital,Analyst - Abuse Mitigation & Compliance,"Temporarily Remote in Mumbai, Maharashtra",3.5 of stars rating,Posted1 day ago,Temporarily Remote in Mumbai
McKinsey & Company,"Solution Delivery Analyst - Healthcare Insights, Social, Healthcare and Public Entities","Gurgaon, Haryana",3.9 of stars rating,Posted8 days ago,Gurgaon
Priceline.com,"Senior Analyst, Talent","Mumbai, Maharashtra",3.9 of stars rating,Posted1 day ago,Mumbai
Cardinal Health,Lead - Data Analyst,"Bengaluru, Karnataka",3.9 of stars rating,Posted30+ days ago,Bengaluru
EdIndia,Data Analyst - EdIndia Foundation,"Mumbai, Maharashtra",4.0 of stars rating,Posted30+ days ago,Mumbai
Novartis,Sr. Analyst - Data and Reporting System,"Hyderabad, Telangana",3.8 of stars rating,PostedToday,Hyderabad
IBM,MIS Analyst,"Chennai, Tamil Nadu",3.9 of stars rating,Posted1 day ago,Chennai
McKinsey & Company,"Analyst - Climate Scenarios/Transition Risk and Energy, Planetrics","Bengaluru, Karnataka",3.7 of stars rating,Posted30+ days ago,Bengaluru
Zensar Technologies,AS400 Analyst,India,3.7 of stars rating,Posted9 days ago,Remote Job(based in India)
Deloitte,Analyst/Consultant- Data Modelling,"Bengaluru, Karnataka",3.8 of stars rating,Posted28 days ago,Bengaluru
Honeywell,Sr Data Analyst,"Bengaluru, Karnataka+1 location",4.1 of stars rating,Posted13 days ago,Bengaluru
SG Analytics,Senior Analyst-Equity Research (MENA),"Pune, Maharashtra",3.9 of stars rating,Posted8 days ago,Pune
Crisil,Senior Research Analyst,"Pune, Maharashtra+1 location",3.9 of stars rating,Posted6 days ago,Pune
EY,Associate Analyst - Global Markets Knowledge,"Gurgaon, Haryana",4.0 of stars rating,Posted16 days ago,Gurgaon
Accenture,Analyst-Clinical Data Management (CDM),"Bengaluru, Karnataka",3.5 of stars rating,Posted30+ days ago,Bengaluru
Couche-Tard,Data Visualization Analyst / Data Visualization Senior Analyst,"Gurgaon, Haryana",4.0 of stars rating,Posted29 days ago,Gurgaon
ServiceNow,Marketing Systems Analyst,"Temporarily Remote in Hyderabad, Telangana",3.9 of stars rating,PostedJust posted,Temporarily Remote in Hyderabad
"JPMorgan Chase Bank, N.A.",AWM -Business Analysis and Reporting Specialist -Analyst,"Mumbai, Maharashtra",3.8 of stars rating,Posted5 days ago,Mumbai
Ubisoft,Financial Planning Analyst,"Pune, Maharashtra",4.5 of stars rating,Posted15 days ago,Pune
Deloitte,Reporting & Analytics (Tableau)- Analyst,"Bengaluru, Karnataka",3.5 of stars rating,Posted30+ days ago,Bengaluru
Docon,Business Analyst,"Bengaluru, Karnataka",4.0 of stars rating,Posted6 days ago,Bengaluru
Cyient,GIS Data Analyst,"Hyderabad, Telangana",3.0 of stars rating,Posted30+ days ago,Hyderabad
"Owens Asia, Inc..",Data Analyst / BI Developer,"Thane, Maharashtra",4.3 of stars rating,Posted30+ days ago,Thane
Siemens Healthineers India LLP,Business Analyst - Data Engineering & Analytics,"Bengaluru, Karnataka",4.2 of stars rating,Posted5 days ago,Bengaluru
GO-JEK,Data Analyst - GoFood,"Bengaluru, Karnataka",3.9 of stars rating,Posted30+ days ago,Bengaluru
WHITE FORCE OUTSOURCING SERVICES PRIVATE LIMITED,Data Analyst,"Bhajan Pura, Delhi+1 location",3.6 of stars rating,Posted30+ days ago,Bhajan Pura
Deloitte,Data Analyst-CMG-Tech CoE-Alumni Relations,"Gurgaon, Haryana",3.7 of stars rating,Posted15 days ago,Gurgaon
Collins Aerospace,Data Analyst(Fixed Term Contract – 8 months),"Bengaluru, Karnataka",2.0 of stars rating,Posted6 days ago,Bengaluru
BOEING,Associate Systems and Data Analyst,"Bengaluru, Karnataka",3.7 of stars rating,Posted30+ days ago,Bengaluru
Helius Technologies,Data Analyst,"Hyderabad, Telangana+1 location",4.0 of stars rating,Posted30+ days ago,Hyderabad
Amex,Customer Service Analyst,"Gurgaon, Haryana",4.0 of stars rating,Posted30+ days ago,Gurgaon
ADCI MAA 15 SEZ,"Business Analyst - I, VSP","Chennai, Tamil Nadu",4.1 of stars rating,Posted1 day ago,Chennai
ValueLabs,Lead Data Analyst,"Hyderabad, Telangana",3.7 of stars rating,Posted27 days ago,Hyderabad
Aditya Pharmacy,ASSISTANT DATA ANALYST,"Hyderabad, Telangana",4.0 of stars rating,Posted30+ days ago,Hyderabad
Schneider Electric,Master Data Analyst- Nordics,"Gurgaon, Haryana",4.0 of stars rating,Posted30+ days ago,Gurgaon
Enquero Inc,Business Analyst,"Hyderabad, Telangana",3.9 of stars rating,Posted1 day ago,Hyderabad
Consilio LLC,eDiscovery Analyst - Data Operations,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
Genpact,Business Analyst - MDM,"Bengaluru, Karnataka+1 location",3.9 of stars rating,Posted8 days ago,Bengaluru
Accenture,Senior Analyst-Supply Chain Analytics,"Gurgaon, Haryana+1 location",3.9 of stars rating,Posted2 days ago,Gurgaon
Goldman Sachs,Global Markets Division - LM Data Analytics - Analyst - Bangalore,"Bengaluru, Karnataka",4.1 of stars rating,Posted30+ days ago,Bengaluru
Crowe,Data Analyst - Financial Analyst,"Noida, Uttar Pradesh",4.1 of stars rating,Posted30+ days ago,Noida
CeX,Associate / Data Analyst,"Lower Parel, Mumbai, Maharashtra",4.0 of stars rating,Posted30+ days ago,Lower Parel
Prescient Healthcare Group,"Analyst, Intelligence & Insight","Gurgaon, Haryana",3.6 of stars rating,Posted30+ days ago,Gurgaon
Standard Chartered,Senior Analyst,"Bengaluru, Karnataka+1 location",3.7 of stars rating,Posted12 days ago,Bengaluru
Pearson,Senior Associate - Financial Data Analyst,"Noida, Uttar Pradesh",3.9 of stars rating,Posted26 days ago,Noida
Telus International,Data Analyst,"Remote in Mumbai, Maharashtra",3.6 of stars rating,Posted30+ days ago,Remote in Mumbai
McKinsey & Company,Data Strategy Manager - Capital Analytics,"Gurgaon, Haryana",3.8 of stars rating,Posted27 days ago,Gurgaon
XL Catlin,Junior Analyst - Data Governance,"Gurgaon, Haryana",2.9 of stars rating,Posted30+ days ago,Gurgaon
Barclays,CSPT Business Analyst - BA4,"Pune, Maharashtra",3.7 of stars rating,Posted12 days ago,Pune
Deloitte,Analyst/Consultant-A&C-Talend ETL,"Bengaluru, Karnataka",4.2 of stars rating,Posted30+ days ago,Bengaluru
ION,Content and Research Analyst - 5970,"Mumbai, Maharashtra",4.0 of stars rating,Posted30+ days ago,Mumbai
Credit Suisse,31765 - IT Business Analyst,"Pune, Maharashtra",4.0 of stars rating,Posted29 days ago,Pune
Clarivate Analytics,"Associate Analyst, RWD Analytics","Bengaluru, Karnataka",3.9 of stars rating,Posted1 day ago,Bengaluru
Games2win,Sr. Data Analyst – Job Opening,"Remote in Mumbai, Maharashtra",2.9 of stars rating,Posted30+ days ago,Remote in Mumbai
Credit Suisse,Business Analyst Compliance,"Pune, Maharashtra",3.5 of stars rating,Posted30 days ago,Pune
Citi,Officer (Cash And Trade Proc Analyst 1),"Chennai, Tamil Nadu",4.0 of stars rating,PostedJust posted,Chennai
Sutherland,Business Analyst - L2,"Hyderabad, Telangana+1 location",3.9 of stars rating,Posted5 days ago,Hyderabad
CarDekho,Data Analyst,"Gurgaon, Haryana",3.9 of stars rating,Posted29 days ago,Gurgaon
Deloitte,USI- Client & Markets Growth (CMG) – I&I -PMO – Analyst,"Hyderabad, Telangana",3.9 of stars rating,Posted30+ days ago,Hyderabad
NielsenIQ,"Data Analyst, Business Analytics","Mumbai, Maharashtra",3.8 of stars rating,Posted30+ days ago,Mumbai
Hewlett Packard Enterprise,Marketing Data Analyst and Data Engineer,"Bengaluru, Karnataka",4.3 of stars rating,Posted30+ days ago,Bengaluru
Incuspaze Solutions,Business Data Analyst,"Gurgaon, Haryana",3.8 of stars rating,Posted30+ days ago,Gurgaon
GO-JEK,Data Analyst - Transportation,"Remote in Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Remote in Bengaluru
BNP Paribas,Business Analyst,"Mumbai, Maharashtra+1 location",3.8 of stars rating,Posted8 days ago,Mumbai
Standard Chartered,Reporting Business Analyst,"Chennai, Tamil Nadu",3.5 of stars rating,Posted2 days ago,Chennai
Deloitte,Analyst - Risk and Brand Protection - Background Research,"Hyderabad, Telangana",3.8 of stars rating,Posted30+ days ago,Hyderabad
GO-JEK,Senior Data Analyst - GoFood,"Bengaluru, Karnataka",3.6 of stars rating,Posted8 days ago,Bengaluru
Molex,"Analyst, Master Data","Bengaluru, Karnataka",3.6 of stars rating,Posted16 days ago,Bengaluru
Oracle,Technical Analyst 4-Support,India,3.6 of stars rating,Posted30+ days ago,Remote Job(based in India)
ADCI - Karnataka,"Business Intelligence Engineer, COPS Data Analytics Team","Bengaluru, Karnataka",3.9 of stars rating,Posted16 days ago,Bengaluru
BNY Mellon,"Analyst, Client Reporting/Perf","Pune, Maharashtra+2 locations",4.3 of stars rating,Posted30+ days ago,Pune
Red Hat Software,Business Process Analyst,"Mumbai, Maharashtra",3.8 of stars rating,Posted7 days ago,Mumbai
Genpact,DG - Business Analyst - Data Analytics,"Bengaluru, Karnataka+1 location",4.0 of stars rating,Posted28 days ago,Bengaluru
AlignTech,Data Informatics Analyst,"Hyderabad, Telangana",3.8 of stars rating,Posted27 days ago,Hyderabad
RM Education Solutions India,Data Analyst,"Irinchayam B.O, Kerala",3.9 of stars rating,Posted30+ days ago,Irinchayam B.O
Deloitte,Analyst-MF-Commercial Finance,"Hyderabad, Telangana",4.0 of stars rating,Posted30+ days ago,Hyderabad
Nike,Senior Data Protection Analyst – CIS,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
Schneider Electric,Global Business Data Analyst,"Bengaluru, Karnataka",3.9 of stars rating,Posted30+ days ago,Bengaluru
Information Services Group,Data Analyst - Associate / Analyst,"Bengaluru, Karnataka",3.9 of stars rating,Posted30+ days ago,Bengaluru
Airtel India,Sr Lead Data Analyst,"Gurgaon, Haryana",3.5 of stars rating,Posted16 days ago,Gurgaon
Sony India Software Centre Pvt Ltd,Risk Analyst,"Bengaluru, Karnataka",4.1 of stars rating,Posted30+ days ago,Bengaluru
ADCI HYD 13 SEZ,"Programmer Analyst, AFT OpsTech SNOW","Hyderabad, Telangana",3.6 of stars rating,Posted1 day ago,Hyderabad
Sutherland,Lead Analyst - Equity Research,"Navi Mumbai, Maharashtra",3.2 of stars rating,Posted21 days ago,Navi Mumbai
Accenture,Analyst-Data Maintenance,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
EY,Talent Reporting Analyst,"Bengaluru, Karnataka",3.6 of stars rating,Posted21 days ago,Bengaluru
United Airlines Inc.,Senior Data Analyst - Internal Audit,"Gurgaon, Haryana",3.8 of stars rating,Posted7 days ago,Gurgaon
Autodesk,Real-Time Analyst,"Bengaluru, Karnataka",4.1 of stars rating,Posted7 days ago,Bengaluru
Commvault,Associate Business Intelligence Analyst,"Bengaluru, Karnataka",3.9 of stars rating,Posted1 day ago,Bengaluru
Genpact,Consultant - Business Analyst,"Bengaluru, Karnataka",3.8 of stars rating,Posted10 days ago,Bengaluru
Waste Management,India Analyst - QA,"Indore, Madhya Pradesh",4.0 of stars rating,Posted4 days ago,Indore
EY,PAS Tax US - Tax Analyst,"Bengaluru, Karnataka",4.0 of stars rating,Posted13 days ago,Bengaluru
Coforge Ltd.,Data Analyst/Data Engineer,"Noida, Uttar Pradesh+4 locations",3.9 of stars rating,Posted8 days ago,Noida
Toll Group,Data Analyst,"Pune, Maharashtra",3.8 of stars rating,Posted13 days ago,Pune
LeanIX GmbH,Research Analyst,"Hyderabad, Telangana",4.3 of stars rating,Posted16 days ago,Hyderabad
RealPage,Developer Analyst I,"Remote in Hyderabad, Telangana",3.6 of stars rating,Posted9 days ago,Remote in Hyderabad
Kline & Company,Data Analyst,"Hyderabad, Telangana",3.6 of stars rating,Posted30+ days ago,Hyderabad
Udaan,Data Analyst - GTM,"Bengaluru, Karnataka",3.5 of stars rating,Posted30+ days ago,Bengaluru
IHS Markit,Research Analyst II,"Noida, Uttar Pradesh+2 locations",3.6 of stars rating,Posted14 days ago,Noida
Hewlett Packard Enterprise,Operations Business Analyst,"Bengaluru, Karnataka",3.5 of stars rating,Posted2 days ago,Bengaluru
Deloitte,Senior Analyst - Talent Business Analyst - US Support,"Bengaluru, Karnataka",3.5 of stars rating,Posted13 days ago,Bengaluru
Microsoft,Program Manager: Data Analyst,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
Cisco Systems,"Analyst, Asset Management","Bengaluru, Karnataka",3.9 of stars rating,PostedToday,Bengaluru
Credit Suisse,"Business Analyst, ENO","Pune, Maharashtra",4.3 of stars rating,Posted30+ days ago,Pune
Ripples India,Data Analyst - Predictive Modelling Specialist,"Bengaluru, Karnataka",4.0 of stars rating,PostedJust posted,Bengaluru
Accenture,Senior Analyst-Clinical Data Management (CDM),"Bengaluru, Karnataka+1 location",4.0 of stars rating,Posted30+ days ago,Bengaluru
M&G plc,Investment Data Analyst,"Mumbai, Maharashtra",4.0 of stars rating,Posted30+ days ago,Mumbai
Credit Suisse,Equity Research Analyst AVP,"Mumbai, Maharashtra",4.1 of stars rating,Posted30+ days ago,Mumbai
Couche-Tard,Data Preparation Analyst / Data Preparation Senior Analyst,"Gurgaon, Haryana",3.8 of stars rating,Posted29 days ago,Gurgaon
Practo Technologies,analyst,"Bengaluru, Karnataka",3.6 of stars rating,Posted30+ days ago,Bengaluru
Cargill,Associate Service Management Analyst,"Bengaluru, Karnataka",4.0 of stars rating,Posted15 days ago,Bengaluru
Genpact,Business Analyst - Reporting,"Bengaluru, Karnataka",4.0 of stars rating,Posted23 days ago,Bengaluru
Motorola Solutions,Sr Analyst II Product Mgmt,"Vadodara, Gujarat",3.6 of stars rating,Posted30+ days ago,Vadodara
Practo Technologies,Business Analyst,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
Accenture,Analyst-Telecom Operations,"Mumbai, Maharashtra+1 location",3.9 of stars rating,Posted6 days ago,Mumbai
Philips,FP&A Analyst,"Chennai, Tamil Nadu",3.9 of stars rating,Posted1 day ago,Chennai
HP,Supply Chain Operations Analyst,"Bengaluru, Karnataka",3.8 of stars rating,Posted5 days ago,Bengaluru
Genpact,DG - Business Analyst - Digital Project Coordinator,"Hyderabad, Telangana",4.0 of stars rating,PostedToday,Hyderabad
Deloitte,Learning Reporting Analyst-GTO-Hyderabad,"Hyderabad, Telangana",3.0 of stars rating,Posted30+ days ago,Hyderabad
Cardinal Health,"Sr. Analyst, Master Data - EDI/LEI","Bengaluru, Karnataka",4.3 of stars rating,Posted30+ days ago,Bengaluru
Iron Mountain,Financial Analyst - Price Execution,"Bengaluru, Karnataka",4.5 of stars rating,Posted30+ days ago,Bengaluru
Assurant,Data Analytics Intern,"Mumbai, Maharashtra",3.7 of stars rating,Posted8 days ago,Mumbai
Rambøll,Data Analyst,"Chennai, Tamil Nadu",4.1 of stars rating,Posted27 days ago,Chennai
Softenger,Business analyst,"Pune, Maharashtra",4.0 of stars rating,Posted3 days ago,Pune
Proclink,Data Analyst,"Ahmedabad, Gujarat",3.5 of stars rating,Posted30+ days ago,Ahmedabad
Citi,Data Analytics Lead Analyst,"Pune, Maharashtra",4.1 of stars rating,PostedJust posted,Pune
S&P Global,Data Analyst - Refining Analytics,"Hyderabad, Telangana",3.5 of stars rating,Posted30+ days ago,Hyderabad
DBS Bank,"Data Analyst (Python, ELG developer)_Digibank",Telangana,3.9 of stars rating,Posted30+ days ago,Telangana
TaskUS,Business Insight Analyst,"Gurgaon, Haryana+1 location",3.5 of stars rating,Posted12 days ago,Gurgaon
LeadSquared,Data Analyst,"Bengaluru, Karnataka",4.1 of stars rating,Posted30+ days ago,Bengaluru
Genpact,Assistant Manager - Data Analyst LDT Team,"Gurgaon, Haryana",3.9 of stars rating,Posted13 days ago,Gurgaon
"JPMorgan Chase Bank, N.A.","Associate, Auto Data Analytics","Bengaluru, Karnataka",3.8 of stars rating,PostedJust posted,Bengaluru
Dun & Bradstreet,Data Operation Analyst I (R-10268),"Mumbai, Maharashtra+1 location",3.9 of stars rating,Posted30+ days ago,Mumbai
Lam Research,Financial Analyst 4,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
Progress,Business Intelligence Analyst,"Hyderabad, Telangana",3.5 of stars rating,Posted2 days ago,Hyderabad
AstraZeneca,Senior Analyst - Senior Master data Analyst,"Chennai, Tamil Nadu",3.8 of stars rating,Posted12 days ago,Chennai
Credit Suisse,"FIWM Market Risk Scenario Analyst, ENO","Mumbai, Maharashtra",3.5 of stars rating,Posted30+ days ago,Mumbai
DBS Bank,Business Analyst,India,4.0 of stars rating,Posted30+ days ago,Remote Job(based in India)
Gigamon,Sr. Business Data Analyst,"Chennai, Tamil Nadu",3.8 of stars rating,Posted2 days ago,Chennai
Deloitte,Associate Analyst-Reporting & Analysis-GFS COE,"Hyderabad, Telangana",3.9 of stars rating,Posted30+ days ago,Hyderabad
Clarivate Analytics,Junior Scientific Analyst,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
Accenture,Data & Analytics Business Operations Associate,India,4.0 of stars rating,Posted30+ days ago,Remote Job(based in India)
ExxonMobil,IT Data Analyst,"Bengaluru, Karnataka",3.8 of stars rating,PostedJust posted,Bengaluru
SCRUFF,Business Analyst,"Kurla, Mumbai, Maharashtra",3.9 of stars rating,PostedJust posted,Kurla
99Games,Senior Data Analyst,"Udipi, Karnataka",3.9 of stars rating,Posted30+ days ago,Udipi
Oracle,Financial Analyst 2,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
E2open India,Customer Insight Analyst,"Pune, Maharashtra",3.8 of stars rating,Posted30+ days ago,Pune
PPD,DATA VISUALIZATION ANALYST,"Bengaluru, Karnataka",3.9 of stars rating,Posted30+ days ago,Bengaluru
Accenture,Reporting and Analytics Digital Data Practitioner,"Bengaluru, Karnataka",3.4 of stars rating,Posted6 days ago,Bengaluru
ZunRoof Tech,Product Analyst,"Gurgaon, Haryana",3.9 of stars rating,Posted3 days ago,Gurgaon
