Company Name,Post,Job location,Company Rating,Post Date,Job location city
EATON,Data Analyst - Intern,"Pune, Maharashtra",4.1 of stars rating,Posted2 days ago,Pune
General Mills,Data Analyst,"Remote in Mumbai, Maharashtra",4.1 of stars rating,Posted5 days ago,Remote in Mumbai
Oracle,Senior Data Analyst,India,3.9 of stars rating,Posted30+ days ago,Remote Job(based in India)
Heart It Out,Data Analyst Internship,"Remote in Bengaluru, Karnataka",4.0 of stars rating,Posted6 days ago,Remote in Bengaluru
Samyak Infotech,Data Analyst,"Ahmedabad, Gujarat",4.0 of stars rating,Posted2 days ago,Ahmedabad
Swiggy,Senior Data Product Analyst View Jobs,"Bengaluru, Karnataka",3.9 of stars rating,PostedToday,Bengaluru
The Economist Newspaper Limited,Data Analyst - Freelance,"Gurgaon, Haryana",4.2 of stars rating,Posted1 day ago,Gurgaon
Oracle,Business Analyst 1-Ops,"Bengaluru, Karnataka+1 location",4.0 of stars rating,Posted10 days ago,Bengaluru
SmartShift Logistics Solutions,Data Analyst,"Bengaluru, Karnataka",3.8 of stars rating,Posted11 days ago,Bengaluru
MOLECULAR CONNECTIONS,Jr Data Analyst - Healthcare,Remote,4.2 of stars rating,Posted17 days ago,Remote
Cargill,Data Analyst - Corporate Audit,"Bengaluru, Karnataka",3.8 of stars rating,Posted3 days ago,Bengaluru
Criteo,"Data Analyst, India","Gurgaon, Haryana",4.0 of stars rating,Posted9 days ago,Gurgaon
Vipany Group,Research Analyst,"Hyderabad, Telangana",3.6 of stars rating,Posted2 days ago,Hyderabad
Cargill,CBS Global Performance Analyst (RemedyForce & Data),"Bengaluru, Karnataka",3.6 of stars rating,Posted4 days ago,Bengaluru
Sanofi,RWE Data Analyst/ Scientist,"Hyderabad, Telangana",4.1 of stars rating,Posted2 days ago,Hyderabad
Eli Lilly,Data Analyst - BRD,"Bengaluru, Karnataka",4.0 of stars rating,PostedToday,Bengaluru
CRU International,Research Analyst - Steel Costs,"Mumbai, Maharashtra",3.8 of stars rating,Posted5 days ago,Mumbai
Infochola,Data Analytics,India,3.9 of stars rating,PostedJust posted,Remote Job(based in India)
ESB-Jones Lang LaSalle Property Consultants...,Assistant Data Analyst Manager,"Hyderabad, Telangana",4.0 of stars rating,PostedToday,Hyderabad
8 Views,Business Data Analyst,"Hyderabad, Telangana",3.4 of stars rating,PostedToday,Hyderabad
Perfect Digital Media Resources,Data Analyst - Bio Science/Biotechnology,"Chennai, Tamil Nadu",4.1 of stars rating,Posted6 days ago,Chennai
Shell,Senior Data Analyst - Collibra,"Bengaluru, Karnataka",4.7 of stars rating,PostedToday,Bengaluru
EY,MIS - Data Analyst 1,"Bengaluru, Karnataka",3.9 of stars rating,Posted5 days ago,Bengaluru
Accenture,Analyst-Program and Project Management,"Gurgaon, Haryana",4.0 of stars rating,Posted1 day ago,Gurgaon
Klevu Oy,Data Analyst,India,3.9 of stars rating,Posted30+ days ago,Remote Job(based in India)
Infosys Limited,Data Science - Analyst/Lead Analyst,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
Boston Consulting Group,Junior Analyst - BCG GAMMA,"New Delhi, Delhi",4.0 of stars rating,Posted2 days ago,New Delhi
Adani Group,Data Visualization Developer,"Bengaluru, Karnataka",3.5 of stars rating,Posted30+ days ago,Bengaluru
Northern Trust Corp.,"Analyst, Market Data","Bengaluru, Karnataka",3.8 of stars rating,PostedToday,Bengaluru
BuzzBoard,Data Validation and Research Analyst (Market Research),"Hyderabad, Telangana",4.1 of stars rating,Posted2 days ago,Hyderabad
Oracle,Lead Analyst - O2C Quality,"Bengaluru, Karnataka",3.6 of stars rating,Posted1 day ago,Bengaluru
Mercedes-Benz Research and Development India...,Risk Analyst,"Bengaluru, Karnataka",3.6 of stars rating,Posted1 day ago,Bengaluru
Springer Nature,"Data Analyst_Research, Excel","Pune, Maharashtra",3.3 of stars rating,Posted30+ days ago,Pune
"Midland Credit Management, Inc.",Senior Data Analyst,"Gurgaon, Haryana",4.1 of stars rating,PostedToday,Gurgaon
Cisco Systems,"Analyst, Asset Management","Bengaluru, Karnataka",3.9 of stars rating,PostedToday,Bengaluru
impress.ai,JUNIOR DATA ANALYST – INTERNSHIP,India,3.8 of stars rating,Posted30+ days ago,Remote Job(based in India)
ESF-JLL INSSO (SEZ),Space Data Management Analyst,"Gurgaon, Haryana",3.7 of stars rating,PostedToday,Gurgaon
Deloitte,Analyst/Senior Analyst - GPS Marketing - Data Analytics,"Hyderabad, Telangana",3.9 of stars rating,Posted15 days ago,Hyderabad
Cargill,CBS Global Performance Analyst (RemedyForce & Data),"Bengaluru, Karnataka",4.0 of stars rating,Posted4 days ago,Bengaluru
General Mills,Data Analyst,"Remote in Mumbai, Maharashtra",4.0 of stars rating,Posted5 days ago,Remote in Mumbai
Deloitte,Analyst - Data Analytics and Tableau - Risk and Brand Protection,"Hyderabad, Telangana",3.6 of stars rating,Posted30+ days ago,Hyderabad
Incedo,Data Analyst,"Gurgaon, Haryana",3.8 of stars rating,Posted30+ days ago,Gurgaon
Flipkart,Planning Analyst,"Bengaluru, Karnataka",4.0 of stars rating,Posted28 days ago,Bengaluru
Skill-Lync,Data Analyst - Customer Experience.,"Chennai, Tamil Nadu",4.3 of stars rating,Posted2 days ago,Chennai
Société Générale,Data Analyst,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
Unocoin,Data Analyst.,"Bengaluru, Karnataka",4.1 of stars rating,Posted7 days ago,Bengaluru
Deloitte,Analyst - Compliance Helpdesk - Risk and Brand Protection,"Hyderabad, Telangana",3.9 of stars rating,Posted16 days ago,Hyderabad
Barclays,Business Analyst,"Pune, Maharashtra",4.7 of stars rating,PostedToday,Pune
Orange Business Services,Senior Data Analyst,"Gurgaon, Haryana+1 location",3.9 of stars rating,Posted8 days ago,Gurgaon
Deloitte,Data Analyst-GTO-Hyderabad,"Hyderabad, Telangana",4.0 of stars rating,Posted30+ days ago,Hyderabad
UpScalio,Data Analyst 3-5 Gurugram,"Gurgaon, Haryana",3.8 of stars rating,Posted14 days ago,Gurgaon
ASSPL - Karnataka,Data Analyst,"Bengaluru, Karnataka",2.6 of stars rating,Posted8 days ago,Bengaluru
ESB-Jones Lang LaSalle Property Consultants...,Assistant Data Analyst Manager,"Hyderabad, Telangana",3.6 of stars rating,PostedToday,Hyderabad
UBS,Data Analyst (Risk DMO) – EE,"Mumbai, Maharashtra",4.3 of stars rating,Posted2 days ago,Mumbai
Intel,Data Analyst,"Bengaluru, Karnataka",4.0 of stars rating,Posted5 days ago,Bengaluru
FLYdocs,Data Feed Analyst,India,4.0 of stars rating,Posted30+ days ago,Remote Job(based in India)
Crowe,Data Analytics Developer,"Noida, Uttar Pradesh",3.9 of stars rating,Posted1 day ago,Noida
Heart It Out,Data Analyst Internship,"Remote in Bengaluru, Karnataka",3.8 of stars rating,Posted6 days ago,Remote in Bengaluru
Milliman,Actuarial Data Analyst,"Gurgaon, Haryana",3.6 of stars rating,Posted30+ days ago,Gurgaon
NatWest Group,Data & Analytics Analyst,"Gurgaon, Haryana",3.9 of stars rating,Posted23 days ago,Gurgaon
Maersk,Sr Analyst- SCD,"Navi Mumbai, Maharashtra",4.0 of stars rating,Posted1 day ago,Navi Mumbai
"JPMorgan Chase Bank, N.A.",QR WSC Data analyst,"Mumbai, Maharashtra",3.8 of stars rating,Posted13 days ago,Mumbai
AIBridge ML,Jr Data Analyst | Jr Data Scientist,"Hyderabad, Telangana",3.9 of stars rating,Posted23 days ago,Hyderabad
Telus International,Data Analyst,"Remote in Mumbai, Maharashtra",3.7 of stars rating,Posted30+ days ago,Remote in Mumbai
Dun & Bradstreet,Data Operation Analyst I (R-10268),"Mumbai, Maharashtra+1 location",4.0 of stars rating,Posted30+ days ago,Mumbai
Citi,Data/Information Mgt Analyst 2,"Bengaluru, Karnataka+2 locations",4.1 of stars rating,Posted2 days ago,Bengaluru
HP,Business Operations Analyst,"Chennai, Tamil Nadu",3.7 of stars rating,Posted1 day ago,Chennai
United Airlines Inc.,Senior Analyst - Loyalty Data Analytics,"Gurgaon, Haryana",3.9 of stars rating,Posted3 days ago,Gurgaon
UnitedHealth Group,Associate Data Analyst,"Bengaluru, Karnataka",3.5 of stars rating,Posted5 days ago,Bengaluru
Hewlett Packard Enterprise,Operations Business Analyst,"Bengaluru, Karnataka",4.0 of stars rating,Posted2 days ago,Bengaluru
Accenture,DA&S - Data Science analyst,"Bengaluru, Karnataka",3.8 of stars rating,Posted30+ days ago,Bengaluru
McKinsey & Company,"Solution Delivery Analyst - Social, Healthcare and Public Entities","Gurgaon, Haryana",3.8 of stars rating,Posted8 days ago,Gurgaon
HP,Data Analyst,"Bengaluru, Karnataka",3.7 of stars rating,Posted5 days ago,Bengaluru
GyanTU,Data Analyst,India,3.6 of stars rating,Posted5 days ago,Remote Job(based in India)
Airtel India,Data Analyst,"Gurgaon, Haryana",3.8 of stars rating,Posted23 days ago,Gurgaon
Arsh Biotech,Data mining analyst (Part,India,4.2 of stars rating,Posted30+ days ago,Remote Job(based in India)
Shell,IT Business Analyst,"Bengaluru, Karnataka",3.6 of stars rating,PostedToday,Bengaluru
Skill-Lync,Data Analyst - Customer Experience.,"Chennai, Tamil Nadu",3.9 of stars rating,Posted2 days ago,Chennai
Citi,Data/Information Mgt Analyst 2,"Bengaluru, Karnataka+2 locations",4.0 of stars rating,Posted2 days ago,Bengaluru
IG Group,SQL & Data Reporting Analyst- KYC & AML,"Remote in Bengaluru, Karnataka",4.0 of stars rating,Posted8 days ago,Remote in Bengaluru
Siemens Healthineers India LLP,Data Visualization Specialist,"Bengaluru, Karnataka",4.0 of stars rating,Posted5 days ago,Bengaluru
Link Group,Service Desk Analyst,"Mumbai, Maharashtra",3.7 of stars rating,Posted19 days ago,Mumbai
Ameriprise Financial,Service Management Analyst-Incident Management,"Gurgaon, Haryana",4.1 of stars rating,PostedToday,Gurgaon
Faircent,Data Analyst,"Gurgaon, Haryana",4.0 of stars rating,Posted30+ days ago,Gurgaon
Numerator,"Data Analyst, Data Triage","Remote in Vadodara, Gujarat",3.8 of stars rating,Posted14 days ago,Remote in Vadodara
ZM Financial Systems,Financial Data Analyst,"Bengaluru, Karnataka",3.9 of stars rating,Posted16 days ago,Bengaluru
Malabar Group,Business Analyst - IT,"Calicut, Kerala",4.1 of stars rating,Posted30+ days ago,Calicut
Deloitte,Analyst/Sr. Analyst - Tech CoE- Data Analyst,"Hyderabad, Telangana",3.6 of stars rating,Posted15 days ago,Hyderabad
Deloitte,Analyst/Consultant-Big Data Testing,"Bengaluru, Karnataka",3.9 of stars rating,Posted30+ days ago,Bengaluru
CRU International,Research Analyst - Steel Costs,"Mumbai, Maharashtra",3.8 of stars rating,Posted5 days ago,Mumbai
Morningstar,"Junior Analyst, Credit Ratings","Mumbai, Maharashtra",3.5 of stars rating,Posted6 days ago,Mumbai
Genpact,Business Analyst - Data Visualization,"Bengaluru, Karnataka",4.1 of stars rating,Posted30+ days ago,Bengaluru
CGI Inc,Business Analyst,"Bengaluru, Karnataka",3.7 of stars rating,Posted6 days ago,Bengaluru
MSCI Inc,Data Science Analyst,"Mumbai, Maharashtra",3.9 of stars rating,Posted30+ days ago,Mumbai
Adani Group,Data Visualization Developer,"Bengaluru, Karnataka",3.3 of stars rating,Posted30+ days ago,Bengaluru
MOLECULAR CONNECTIONS,Jr Data Analyst - Healthcare,Remote,3.8 of stars rating,Posted17 days ago,Remote
Coforge Ltd.,DATA ANALYST,"Banga, Punjab",3.9 of stars rating,Posted9 days ago,Banga
Wells Fargo,Information Security Analyst,"Bengaluru, Karnataka",4.0 of stars rating,Posted9 days ago,Bengaluru
Siemens Healthineers India LLP,Data Visualization Specialist,"Bengaluru, Karnataka",3.8 of stars rating,Posted5 days ago,Bengaluru
The Estée Lauder Companies,Business Analyst,"Mumbai, Maharashtra",4.1 of stars rating,Posted30+ days ago,Mumbai
EATON,Associate Data Analyst,"Pune, Maharashtra",3.8 of stars rating,Posted5 days ago,Pune
General Mills,"GIC: Analyst - SC Analytics, Network","Mumbai, Maharashtra•Remote",4.3 of stars rating,PostedToday,Mumbai
ADCI HYD 13 SEZ,Business Analyst II,"Hyderabad, Telangana",4.1 of stars rating,Posted2 days ago,Hyderabad
PwC,IFS-Operate-Testing and Data Analytics - Associate 2-Kolkata,"Kolkata, West Bengal",3.2 of stars rating,Posted7 days ago,Kolkata
Deutsche Bank,Risk Analyst,"Mumbai, Maharashtra",4.3 of stars rating,Posted6 days ago,Mumbai
Linesight,Data Visualization Analyst,"Mumbai, Maharashtra",4.1 of stars rating,Posted28 days ago,Mumbai
Zynga,Data Analyst 3,"Bengaluru, Karnataka",3.6 of stars rating,Posted30+ days ago,Bengaluru
Wells Fargo,Senior information Security Analyst,"Bengaluru, Karnataka",4.0 of stars rating,PostedToday,Bengaluru
Smith & Nephew,Data Analyst,"Kharadi, Pune, Maharashtra",3.9 of stars rating,Posted7 days ago,Kharadi
Experian,Business Analyst,"Mumbai, Maharashtra+1 location",3.9 of stars rating,PostedJust posted,Mumbai
Infibusiness Solution,Data Analyst,"Vadodara, Gujarat",4.1 of stars rating,Posted30+ days ago,Vadodara
Boston Consulting Group,Junior Analyst - BCG GAMMA,"New Delhi, Delhi",3.9 of stars rating,Posted2 days ago,New Delhi
"Midland Credit Management, Inc.",Senior Data Analyst,"Gurgaon, Haryana",4.3 of stars rating,PostedToday,Gurgaon
MSCI Inc,Equity Index Quant Analyst,"Mumbai, Maharashtra",3.9 of stars rating,Posted14 days ago,Mumbai
Deloitte,Analyst/Consultant- SSIS,"Bengaluru, Karnataka",4.3 of stars rating,Posted30+ days ago,Bengaluru
Accenture,Analyst-Clinical Data Management (CDM),"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
Philips,Data Analyst - SQE,"Pune, Maharashtra",3.9 of stars rating,Posted6 days ago,Pune
IDFC FIRST Bank,Business Finance Analyst,"Mumbai, Maharashtra",3.8 of stars rating,Posted30+ days ago,Mumbai
ESB-Jones Lang LaSalle Property Consultants...,Business Analyst,"Aurangabad, Maharashtra",3.9 of stars rating,PostedToday,Aurangabad
Flipkart,Business Analyst,"Bengaluru, Karnataka",3.3 of stars rating,Posted15 days ago,Bengaluru
Deloitte,Analytics - Analyst / SA,"Gurgaon, Haryana",3.9 of stars rating,Posted30+ days ago,Gurgaon
Intelehealth,Data Analyst,Remote,3.1 of stars rating,Posted30 days ago,Remote
Corning,"HR Analyst, GSM","Gurgaon, Haryana",4.0 of stars rating,Posted3 days ago,Gurgaon
Infosys Limited,Data Science - Analyst/Lead Analyst,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
Standard Chartered,"Analyst, Data Science","Bengaluru, Karnataka",3.8 of stars rating,Posted30+ days ago,Bengaluru
CGI Inc,Business/Data Analyst,"Bengaluru, Karnataka",4.7 of stars rating,Posted13 days ago,Bengaluru
Pratt & Whitney,Junior Analyst - Master Data,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
Caterpillar,Inventory Analyst - EWM,"Bengaluru, Karnataka",3.9 of stars rating,Posted2 days ago,Bengaluru
ASSPL - Karnataka,Data Analyst,"Bengaluru, Karnataka",4.0 of stars rating,Posted8 days ago,Bengaluru
Talent Leads HR Solutions,Analyst 1 (Data Analyst Fresher),"Gurgaon, Haryana",4.0 of stars rating,Posted16 days ago,Gurgaon
Airtel India,Cost Analyst,"Guwahati, Assam",4.0 of stars rating,Posted30+ days ago,Guwahati
UpScalio,Data Analyst 3-5 Gurugram,"Gurgaon, Haryana",4.0 of stars rating,Posted14 days ago,Gurgaon
Six Sigma,Financial Data Analyst,"Pune, Maharashtra+2 locations",4.1 of stars rating,Posted7 days ago,Pune
Société Générale,Data Analyst,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
NatWest Group,"Data Governance Analyst, Financial Crime","Delhi, Delhi+1 location",3.9 of stars rating,Posted9 days ago,Delhi
Ripples India,Data Analyst - Predictive Modelling Specialist,"Bengaluru, Karnataka",3.9 of stars rating,PostedJust posted,Bengaluru
UBS,Data Analyst (Risk DMO) – EE,"Mumbai, Maharashtra",3.6 of stars rating,Posted2 days ago,Mumbai
Société Générale,Analyst_Data Wrangler,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
Deloitte,Immigration Analyst,"Hyderabad, Telangana",3.5 of stars rating,Posted30+ days ago,Hyderabad
GO-JEK,"Data Analyst, TA","Bengaluru, Karnataka",4.1 of stars rating,Posted30+ days ago,Bengaluru
Cargill,Analyst -Trading Analytics Data Team,"Gurgaon, Haryana",4.2 of stars rating,Posted16 days ago,Gurgaon
skilora,Data Analyst,+1 locationRemote,3.8 of stars rating,Posted30+ days ago,+1 locationRemote
NOKIA,SAM Data Automation Analyst,"Noida, Uttar Pradesh",4.0 of stars rating,Posted17 days ago,Noida
Siemens Healthineers,Business Analyst - Data Engineering & Analytics,"Bengaluru, Karnataka",4.0 of stars rating,Posted5 days ago,Bengaluru
Colgate-Palmolive,Sr. Analyst - Analytics,"Mumbai, Maharashtra",3.9 of stars rating,Posted21 days ago,Mumbai
NOKIA,SAM Data Analyst,"Mumbai, Maharashtra",4.0 of stars rating,Posted22 days ago,Mumbai
Cotiviti India,Data Analyst,Maharashtra,3.8 of stars rating,Posted30+ days ago,Maharashtra
McKinsey & Company,Capabilities & Insights Analyst - Marketing & Sales,"Bengaluru, Karnataka",3.9 of stars rating,Posted15 days ago,Bengaluru
Flipkart,Senior Business Analyst - Flipkart Wholesale,"Bengaluru, Karnataka",3.9 of stars rating,Posted30+ days ago,Bengaluru
Anand Rathi,Business Analyst-Kuber,"Mumbai, Maharashtra",3.7 of stars rating,Posted5 days ago,Mumbai
UA Brands,Business Data Analyst,"Temporarily Remote in Pune, Maharashtra",3.8 of stars rating,Posted6 days ago,Temporarily Remote in Pune
Orbio solutions,Data Analyst (Experienced),"Bengaluru, Karnataka",3.9 of stars rating,Posted30+ days ago,Bengaluru
Accenture,Analyst-Data Management,"Mumbai, Maharashtra+4 locations",3.7 of stars rating,Posted30+ days ago,Mumbai
"JPMorgan Chase Bank, N.A.",QR Equities Sales Analytics - Associate/Analyst,"Mumbai, Maharashtra",4.1 of stars rating,Posted6 days ago,Mumbai
Citi,GFT Data Services- Business Analyst – Chennai - Officer/C11(R2189659),"Chennai, Tamil Nadu",3.6 of stars rating,PostedJust posted,Chennai
Autodesk,Data Analyst,"Bengaluru, Karnataka",4.0 of stars rating,Posted9 days ago,Bengaluru
"JPMorgan Chase Bank, N.A.",CB - Wholesale KYC Operations - Client Data Analyst,"Hyderabad, Telangana+1 location",4.0 of stars rating,Posted1 day ago,Hyderabad
PhonePe,Operations Analyst - Payments,"Mumbai, Maharashtra",4.0 of stars rating,Posted8 days ago,Mumbai
Barclays,Business Analyst,"Pune, Maharashtra",3.7 of stars rating,PostedToday,Pune
SAP,Data Analyst - UNSPSC,"Bengaluru, Karnataka",3.9 of stars rating,Posted27 days ago,Bengaluru
Goldman Sachs,Internal Audit-BENGALURU-Analyst-Data Analytics,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
Invesco,Research Analyst,"Administrative Building, Andhra Pradesh",3.7 of stars rating,Posted19 days ago,Administrative Building
Genpact,DG - Business Analyst - Data Analyst,"Bengaluru, Karnataka",3.9 of stars rating,Posted5 days ago,Bengaluru
IBM,Analyst - Risk and Compliance,"Bengaluru, Karnataka+2 locations",2.9 of stars rating,Posted2 days ago,Bengaluru
Etech Global Services,Strategy Analytics Analyst – Remote,"Remote in Gandhinagar, Gujarat",3.9 of stars rating,Posted27 days ago,Remote in Gandhinagar
citius tech,Sr. Healthcare BA / Data Analyst,Remote,3.7 of stars rating,Posted2 days ago,Remote
"Medpace, Inc.",Data Standard Analyst,"Navi Mumbai, Maharashtra",4.0 of stars rating,Posted9 days ago,Navi Mumbai
DXC Technology,Professional 1 Business Analyst (51005644),"Noida, Uttar Pradesh+5 locations",3.4 of stars rating,PostedToday,Noida
PwC,IFS-Operate-Testing and Data Analytics - Associate 2-Kolkata,"Kolkata, West Bengal",4.0 of stars rating,Posted7 days ago,Kolkata
Mercedes-Benz Research and Development India...,Vehicle Drive Data Analytics on Azure,"Bengaluru, Karnataka",3.9 of stars rating,PostedToday,Bengaluru
Hatch,HRIS Analyst,"Gurgaon, Haryana",3.9 of stars rating,Posted30+ days ago,Gurgaon
Oracle,Senior Data Analyst (SQL),"Bengaluru, Karnataka",3.9 of stars rating,Posted30+ days ago,Bengaluru
Skill-Lync,Data Analyst I - Analytics Reporting,"Bengaluru, Karnataka",4.1 of stars rating,Posted30+ days ago,Bengaluru
SimpleSolve,BUSINESS ANALYST,India,4.0 of stars rating,Posted30+ days ago,Remote Job(based in India)
HSBC,Business Analyst,"Bengaluru, Karnataka",3.5 of stars rating,Posted2 days ago,Bengaluru
Crisil,Graduate Trainee/Junior Research Analyst,"Pune, Maharashtra",3.8 of stars rating,Posted23 days ago,Pune
Baazi Games,Senior Data Analyst,"Delhi, Delhi•Remote",4.0 of stars rating,Posted1 day ago,Delhi
Deloitte,Analyst - NSE - DRS,"Hyderabad, Telangana",4.0 of stars rating,Posted15 days ago,Hyderabad
ESA- Jones Lang LaSalle Property Consultants...,Data Quality and Governance Analyst,"Bengaluru, Karnataka",3.9 of stars rating,PostedToday,Bengaluru
